"X";"Y";"PH"
5.6;3.6;6.3
15.2;1.6;6.3
24.8;4.6;5.4
34.4;5.6;5.2
44;1.6;5.6
53.6;1.6;5.2
63.2;2.6;5.2
72.8;4.6;5.6
82.4;3.6;5.7
92;2.6;5.4
101.6;3.6;5.6
111.2;5.6;5.7
120.8;2.6;5.7
130.4;2.6;5.8
140;1.6;6.3
149.6;4.6;6.4
3.6;10.8;6.4
13.2;8.8;6
22.8;11.8;4.7
32.4;12.8;4.7
42;8.8;4.6
51.6;8.8;4.5
61.2;9.8;4.7
70.8;11.8;4.8
80.4;10.8;5.1
90;9.8;5.2
99.6;10.8;5.3
109.2;12.8;5.3
118.8;9.8;5.7
128.4;9.8;5.3
138;8.8;5.5
147.6;11.8;5.8
3.6;18;5.3
13.2;16;5.1
22.8;19;4.4
32.4;20;4.9
42;16;4.9
51.6;16;4.8
61.2;17;4.9
70.8;19;4.8
80.4;18;5.1
90;17;5
99.6;18;5.1
109.2;20;5
118.8;17;5.7
128.4;17;5.4
138;16;4.6
147.6;19;4.9
5.6;25.2;4.7
15.2;23.2;4.7
24.8;26.2;4.8
34.4;27.2;4.9
44;23.2;5
53.6;23.2;5
63.2;24.2;4.9
72.8;26.2;4.9
82.4;25.2;4.9
92;24.2;5.2
101.6;25.2;6.1
111.2;27.2;5.9
120.8;24.2;6.6
130.4;24.2;5.9
140;23.2;4.9
149.6;26.2;5
1.6;32.4;5.4
11.2;30.4;5.8
20.8;33.4;5.4
30.4;34.4;5.7
40;30.4;5.6
49.6;30.4;5.3
59.2;31.4;5.2
68.8;33.4;5.3
78.4;32.4;5.6
88;31.4;5.3
97.6;32.4;6.3
107.2;34.4;6.1
116.8;31.4;6.5
126.4;31.4;5.7
136;30.4;5.5
145.6;33.4;5.3
5.6;39.6;5.4
15.2;37.6;5.2
24.8;40.6;4.7
34.4;41.6;4.8
44;37.6;5
53.6;37.6;5
63.2;38.6;4.8
72.8;40.6;5.2
82.4;39.6;5.1
92;38.6;5.4
101.6;39.6;5.6
111.2;41.6;5.6
120.8;38.6;5.9
130.4;38.6;5.6
140;37.6;5.4
149.6;40.6;5.2
1.6;46.8;5.8
11.2;44.8;5.5
20.8;47.8;5.2
30.4;48.8;5.3
40;44.8;5.7
49.6;44.8;4.9
59.2;45.8;5.1
68.8;47.8;5.3
78.4;46.8;5.4
88;45.8;5.3
97.6;46.8;5
107.2;48.8;5.2
116.8;45.8;5.6
126.4;45.8;5.6
136;44.8;5.6
145.6;47.8;5.7
5.6;54;5.5
15.2;52;5.7
24.8;55;5.6
34.4;56;5.2
44;52;4.8
53.6;52;5
63.2;53;5
72.8;55;5
82.4;54;4.9
92;53;5.3
101.6;54;5.4
111.2;56;5.2
120.8;53;5.3
130.4;53;5.5
140;52;5.2
149.6;55;5.1
2.6;61.2;5.1
12.2;59.2;5.1
21.8;62.2;5.7
31.4;63.2;5.2
41;59.2;5.2
50.6;59.2;5.2
60.2;60.2;5.1
69.8;62.2;5.6
79.4;61.2;5.2
89;60.2;5.5
98.6;61.2;5.3
108.2;63.2;5.2
117.8;60.2;5.1
127.4;60.2;4.8
137;59.2;5.2
146.6;62.2;5.3
5.6;68.4;5.6
15.2;66.4;5.6
24.8;69.4;6
34.4;70.4;5.4
44;66.4;5.6
53.6;66.4;5.1
63.2;67.4;5
72.8;69.4;5.3
82.4;68.4;5.6
92;67.4;5.4
101.6;68.4;5.1
111.2;70.4;5.1
120.8;67.4;5
130.4;67.4;5
140;66.4;5.1
149.6;69.4;5
2.6;75.6;4.9
