"long";"lat"
547465.169640046;5111909.45355788
614328.204851224;5001429.71770168
508758.240199818;5041675.46823351
522479.713803396;5066711.23607745
532545.401690774;5061073.83191594
473156.46089301;5080485.62436435
557566.722936805;5072374.60920658
536869.939299383;5072258.27298032
588413.722263214;5072110.2228427
537198.68233193;5059410.85084584
529011.103243254;5061304.57184778
560288.277835066;5094251.65264207
479761.414469605;4986131.65616195
605967.518272857;5085451.1920917
489524.550374283;5057024.09978909
534302.093767644;5027009.17157269
507748.283411122;5074210.0428902
472041.646475033;5071380.49641688
540433.693151376;5102959.70820998
524622.301131024;5089727.06783302
662846.400772853;4981825.37361567
503110.70149743;5001294.49626843
497767.261352297;4990407.23561512
527223.020541185;5077713.71773579
504414.811858082;4987808.90168324
474462.680269368;5004460.94185335
549271.989574709;5011239.41401828
586655.741765625;5049454.80220596
531167.657416141;5130452.31842975
474553.229659719;5074666.65494842
531075.638204966;5073029.71829511
645426.095208361;5005157.68208132
495990.528189916;4987937.46196819
554524.864705311;5028012.49383357
480715.158132063;5070644.9298888
546980.90258031;5037458.1174849
550543.835079602;5026377.52009308
492638.058601784;5079442.30532346
593558.605031055;5127696.56284946
516204.916480517;5068450.13259989
479306.447031226;5048536.77302291
504548.897028082;5029701.82161863
537614.375106335;5047950.211542
583975.485366569;5109091.91507696
490856.868128886;5071531.73624425
489332.285906365;5089311.31445784
535325.988197517;5068593.74893622
544285.591767751;5075703.17811089
517178.638850711;5079719.26348356
616929.181820307;4995887.43309385
489002.972918137;5059541.31386187
574350.694447617;5062279.67465215
554894.538634899;5014049.62912805
499260.810408189;5053450.06151987
583127.162045561;5095443.65477583
474530.248943023;5072406.52164562
492305.82336705;5056982.28094588
493175.074109419;4987871.44394563
623142.537112903;5018459.67886057
567995.3033947;5118557.19170346
474111.391357838;5010853.91655944
489768.956975164;5083984.92733562
562771.913338363;5120207.58527287
493367.945960001;5072744.48554276
534671.76642873;5061605.17472031
491121.416458084;5045909.63149906
556667.879815207;5020659.12176189
529653.933509596;5093736.66886049
551080.665076494;5016278.49021327
504255.426835771;5018685.31430811
501065.609761373;4983885.03121896
610906.749134049;5044407.81575874
509160.749881369;4966831.97107275
481803.11856758;5098114.1182003
555395.966906095;5040245.43354785
476970.382102623;5068545.86035358
593297.736591661;5119684.18902177
595141.956832926;5070390.80791942
541849.536697903;5113107.19784005
479501.45690352;5085395.01703547
515839.24128859;5069668.41856182
593677.818753091;5057534.45572909
538361.503496597;5002945.97539302
535351.900132845;5074669.92421917
484714.013925368;5086808.87996312
522306.028897112;5036784.61423206
652021.585779637;4988575.08999557
548232.271646031;5027440.41734459
591338.952420115;4995531.49671094
480792.800783359;5087883.09982397
478656.07413692;5093135.43496832
578839.331773586;5018106.57895874
542599.432794294;5099315.29171927
607387.528037098;5014349.11615863
539147.422589802;5112470.49319918
490479.599791643;5052951.57668462
526616.603983645;4999241.12395755
474949.630707929;5068819.73109827
496547.361008011;5036180.56307133
545068.997397178;5049656.39512013
