Ettari;Nord;EstN
9;5076900;1604750
0.1;5098880;1518920
2;5090650;1508800
0.1;5083300;1491200
0.2;5083300;1491300
2;5075000;1563520
1.15;5075200;1638900
0.05;5114790;1601120
0.02;5116640;1603410
3;4952750;1524300
1.5;4954050;1524550
1;5060100;1604000
0.02;5114250;1600325
0.5;5059500;1604800
0.5;5048109;1597165
1;5074500;1523220
3.38;5031855;1485684
0.9;5068125;1580050
0.7;5114375;1599500
0.04;5048080;1597620
0.8;5109430;1550640
7;5075210;1602525
2.5;5053050;1608150
0.01;5111500;1587500
2;5105600;1603850
2;5050700;1597850
5;5103875;1605000
1.5;5081230;1529400
0.5;4958850;1516200
0.2;5121405;1562695
0.6;5079650;1553650
48;5043600;1598810
0.15;5067600;1542200
1.56;5124100;1615500
5;5054000;1576400
2;5061400;1600600
0.05;5075200;1504100
1;5086420;1527490
2.75;5110810;1542220
3.5;5058875;1589280
0.2;5078850;1583550
0.4;5055300;1605700
2;5079950;1555675
3;5113000;1604750
1.5;5102640;1508640
6;5096200;1584900
2;5111500;1603775
1;5075210;1602880
0.05;5103825;1605075
0.1;5115340;1532270
0.3;5080880;1469250
0.5;5076500;1580200
0.02;5105875;1601725
0.1;5083275;1491175
24;5077450;1600320
85;5110170;1514115
1;5107570;1524880
20;5078970;1566700
70;5078710;1568320
5;5072900;1562575
0.4;5099100;1524600
0.05;5111500;1587300
0.4;5096760;1483800
0.09;5065900;1481120
0.4;5075700;1489050
0.4;5072000;1587870
2;5140176;1604055
21;5087280;1491410
1.5;5094300;1552800
0.67;5127550;1616830
0.5;5007050;1472300
0.1;5067450;1545750
1;5079520;1568200
13;5113470;1593750
0.63;5075200;1497600
0.35;5103120;1511180
3;5083550;1487525
0.04;5049100;1597100
0.3;5101500;1603600
0.2;5085775;1606175
0.05;5097100;1528900
0.2;4965941;1525165
1.3;5065900;1481200
0.7;5084125;1491775
2.5;5044620;1480520
0.5;5014500;1482400
1;5113625;1524150
0.5;5069600;1527960
0.05;5099100;1530700
0.2;5048200;1597600
0.04;5048210;1596900
22;5105625;1602325
6;5068000;1555000
0.2;5070125;1579075
4;5066200;1623900
0.03;5106255;1601725
0.15;4981221;1520800
3;5150176;1604055
0.7;5113340;1548740
1.5;5139825;1604200
0.5;5085450;1542350
2.76;5126410;1617130
0.7;5108750;1601825
40;5087110;1491330
1;5065550;1552540
0.4;5114300;1519750
6;5114625;1596500
0.6;5114255;1600328
1;5113390;1524500
0.08;5031720;1486380
0.2;5063400;1474600
1;5113100;1591325
44;5114775;1596250
0.5;5091500;1508500
0.8;5068420;1528610
1;5126791;1564703
0.5;5074600;1489450
1;5079620;1481650
0.5;5096200;1584900
1.5;5067400;1634300
12;4956900;1519500
10;5114925;1595700
0.01;5058900;1606300
0.5;5035225;1618025
0.03;5116790;1601800
5.5;5070370;1592760
0.5;5107150;1520625
4;5125360;1526440
11;5083290;1470110
59;5083100;1486120
0.5;5072425;1550800
1.5;5054600;1583500
0.07;5052425;1619500
3;5111800;1603875
7;5044500;1597600
1;5050440;1506910
0.05;4985415;1518520
