X	Y
-6064	1663
-2785	7358
-5827	6091
-5978	7326
-11416	-10350
-3581	15263
-1636	17727
27189	965
14599	24172
30251	-5110
8996	30102
-35228	2776
5046	37012
5345	37206
-37128	-9464
44202	-10685
10378	45983
45561	-12412
-42659	-24756
43481	31117
5587	-53250
-31635	-43507
-27818	-46487
-46833	28131
28374	-47827
55419	5656
-52396	-19795
-2671	-56909
2489	57469
-11881	65601
-48401	48874
-19243	66562
-19379	66959
-30571	-62789
29564	64170
-23563	-66516
-35715	62263
-53015	50540
9761	73703
-49937	55437
8254	-80792
8176	-80909
8539	-80890
30411	-75490
8189	-81155
3456	-81831
-46212	72725
-19160	-83990
71132	48938
-19250	-84069
-19784	-84259
55520	72283
49951	-78185
-50909	78041
-49706	78868
-94426	5961
30354	-75361
30362	-75387
30372	-75410
30385	-75428
30389	-75456
30401	-75479
30412	-75500
30424	-75524
30431	-75542
30439	-75573
